"timestamp","blockNumber","totalSupply","totalValue","ethPrice"
1717837475,20046098,"8554034897","9999999999","3694.9693784"
1717837571,20046106,"8.55403498254035e+17","1.00000001e+18","3694.9693784"
1717840031,20046311,"8.55403498254035e+17","1.00000001e+18","3694.9693784"
1717840415,20046343,"8.55403498254035e+17","1.00000001e+18","3694.9693784"
1717840799,20046375,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717840871,20046381,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717841939,20046469,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717842059,20046479,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717843307,20046583,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717843523,20046600,"8.55403498254035e+17","1.00000001e+18","3691.50575803"
1717847639,20046940,"8.55403498254035e+17","1.00000001e+18","3692.02442"
1717847903,20046962,"8.55403498254035e+17","1.00000001e+18","3679.74155262"
1717868303,20048650,"8.55403498254035e+17","1.0000909003424329e+18","3679.343984"
1718002127,20059743,"8.55403498254035e+17","1.000174271160343e+18","3682.96288"
1718002331,20059760,"8.55403498254035e+17","1.000174271160343e+18","3682.96288"
1718002367,20059763,"8.55403498254035e+17","1.000174271160343e+18","3682.96288"
1718002427,20059768,"8.55403498254035e+17","1.000174271160343e+18","3682.96288"
1718006147,20060077,"8.55403498254035e+17","1.000174271160343e+18","3655.97971011"
1718006651,20060119,"8.55403498254035e+17","1.000174271160343e+18","3647.8458"
1718013023,20060648,"8.55403498254035e+17","1.000174271160343e+18","3671.5551474"
1718017547,20061024,"8.55403498254035e+17","1.000174271160343e+18","3674.95098477"
1718018855,20061133,"8.562587527061032e+17","1.001174271160343e+18","3674.95098477"
1718019551,20061186,"8.562587527061032e+17","1.001174271160343e+18","3674.95098477"
1718019851,20061211,"8.562587527061032e+17","1.001174271160343e+18","3674.95098477"
1718020223,20061242,"8.562587527061032e+17","1.001174271160343e+18","3674.95098477"
1718021819,20061374,"8.562587527061032e+17","1.001174271160343e+18","3672.43567627"
1718024039,20061559,"8.562587527061032e+17","1.001263150660625e+18","3672.43567627"
1718024195,20061572,"8.562587527061032e+17","1.001263150660625e+18","3678.40233"
1718035871,20062538,"8.562587527061032e+17","1.001263150660625e+18","3709.44261028"
1718036003,20062548,"8.562587527061032e+17","1.001263150660625e+18","3709.44261028"
1718036927,20062625,"8.562587527061032e+17","1.001263150660625e+18","3687.51752"
1718037695,20062689,"8.562587527061032e+17","1.001263150660625e+18","3687.51752"
1718039099,20062805,"8.562587527061032e+17","1.001263150660625e+18","3697.530346"
1718039687,20062854,"8.563587527060932e+17","1.0013800853077042e+18","3697.530346"
1718040023,20062881,"8.563587527060932e+17","1.0013800853077042e+18","3697.530346"
1718040335,20062907,"8.563587527060932e+17","1.0013800853077042e+18","3697.530346"
1718040491,20062920,"8.563587527060932e+17","1.0013800853077042e+18","3697.530346"
1718040695,20062937,"8.563587527060932e+17","1.0013800853077042e+18","3697.530346"
1718044163,20063224,"8.563587527060932e+17","1.0013800853077042e+18","3693.14724052"
1718045171,20063308,"8.564442705594309e+17","1.0014800853077042e+18","3693.14724052"
1718046155,20063389,"8.564442705594309e+17","1.0014800853077042e+18","3688.95991131"
1718046923,20063453,"8.564442705594309e+17","1.0014800853077042e+18","3688.95991131"
1718088395,20066886,"8.564442705594309e+17","1.0014800853077042e+18","3552.69301"
1718088563,20066900,"8.564442705594309e+17","1.0014800853077042e+18","3552.69301"
1718088671,20066909,"8.564442705594309e+17","1.0014800853077042e+18","3552.69301"
1718096015,20067520,"8.564442705594317e+17","1.0014800853077051e+18","3526.78"
1718101931,20068008,"9.408229604326593e+18","1.1001480085307705e+19","3530.9646"
1718103635,20068147,"9.408229604326593e+18","1.1001480085307705e+19","3525.85"
1718103779,20068159,"9.49260829419982e+19","1.110014800853077e+20","3525.85"
1718104319,20068204,"9.49260829419982e+19","1.110014800853077e+20","3525.85"
1718104355,20068207,"9.492608302751605e+19","1.1100148018530771e+20","3525.85"
1718104367,20068208,"9.791947360975505e+19","1.1450179089869693e+20","3525.85"
1718104427,20068213,"9.791947360975505e+19","1.1450179089869693e+20","3525.85"
1718104439,20068214,"9.94194736096057e+19","1.1625581060488367e+20","3525.85"
1718104475,20068217,"9.94194736096057e+19","1.1625581060488367e+20","3525.85"
1718104499,20068219,"9.94194736096057e+19","1.1625581060488367e+20","3525.85"
1718104547,20068223,"9.94204736096056e+19","1.1625697995135446e+20","3525.85"
1718104967,20068258,"9.942218396667234e+19","1.1625897995135446e+20","3525.85"
1718104991,20068260,"9.942235500237901e+19","1.1625917995135446e+20","3525.85"
1718105015,20068262,"9.942335500237891e+19","1.1626034929782525e+20","3525.85"
1718105231,20068280,"9.942335500237891e+19","1.1626034929782525e+20","3525.85"
1718105291,20068285,"9.942335500237891e+19","1.1626034929782525e+20","3525.85"
1718105327,20068288,"9.942335500237891e+19","1.1626034929782525e+20","3525.85"
1718105435,20068295,"9.942335500237891e+19","1.1626034929782525e+20","3525.85"
1718105447,20068296,"9.945625500237563e+19","1.1629882079671429e+20","3525.85"
1718105507,20068301,"9.945625500237563e+19","1.1629882079671429e+20","3525.85"
1718105963,20068339,"1.0031143353575236e+20","1.1729882079671429e+20","3525.85"
1718106155,20068355,"1.0031143353575236e+20","1.1729882079671429e+20","3525.85"
1718106251,20068363,"1.0031143353575236e+20","1.1729882079671429e+20","3525.85"
1718106263,20068364,"1.0040550317442379e+20","1.1740882079671429e+20","3525.85"
1718106275,20068365,"1.0040550317442379e+20","1.1740882079671429e+20","3525.85"
1718106311,20068368,"1.0040550317442379e+20","1.1740882079671429e+20","3525.85"
1718106335,20068370,"1.0040550317442379e+20","1.1740882079671429e+20","3525.85"
1718106371,20068373,"1.0040550317442379e+20","1.1740882079671429e+20","3525.85"
1718106431,20068378,"1.0040550317527897e+20","1.1740882079771428e+20","3525.85"
1718106539,20068387,"1.0040550317527897e+20","1.1740882079771428e+20","3525.85"
1718106551,20068388,"1.0049102102861665e+20","1.1750882079771428e+20","3525.85"
1718106599,20068392,"1.0049102102861665e+20","1.1750882079771428e+20","3525.85"
1718106623,20068394,"1.0049102102861665e+20","1.1750882079771428e+20","3525.85"
1718106635,20068395,"1.0049127758217667e+20","1.1750912079771428e+20","3525.85"
1718106647,20068396,"1.0049127758217667e+20","1.1750912079771428e+20","3525.85"
1718106659,20068397,"1.0049127758217667e+20","1.1750912079771428e+20","3525.85"
1718106731,20068403,"1.0049127758217667e+20","1.1750912079771428e+20","3525.85"
1718106863,20068414,"1.0904306291594383e+20","1.2750912079771428e+20","3525.85"
1718106875,20068415,"1.0904306291594383e+20","1.2750912079771428e+20","3525.85"
1718106911,20068418,"1.0904306291594383e+20","1.2750912079771428e+20","3525.85"
1718106971,20068423,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107007,20068426,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107127,20068436,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107187,20068441,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107199,20068442,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107235,20068445,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107247,20068446,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107295,20068450,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107331,20068453,"1.0904306291594383e+20","1.2750912079771428e+20","3529.57"
1718107379,20068457,"1.0914140844728214e+20","1.2762412079771428e+20","3529.57"
1718107403,20068459,"1.0914140844728214e+20","1.2762412079771428e+20","3529.57"
1718107439,20068462,"1.0914140844728214e+20","1.2762412079771428e+20","3529.57"
1718107463,20068464,"1.0914140844728214e+20","1.2762412079771428e+20","3529.57"
1718107475,20068465,"1.095689977139705e+20","1.2812412079771428e+20","3529.57"
1718107487,20068466,"1.095689977139705e+20","1.2812412079771428e+20","3529.57"
1718107499,20068467,"1.0973575752797897e+20","1.2831912079771428e+20","3529.57"
1718107547,20068471,"1.0973575752797897e+20","1.2831912079771428e+20","3529.57"
